vendor_id,vendor_name,vendor_address1,vendor_address2,vendor_city,vendor_state,vendor_zip_code,vendor_phone,vendor_contact_last_name,vendor_contact_first_name,default_terms_id,default_account_number,invoice_id,vendor_id,invoice_number,invoice_date,invoice_total,payment_total,credit_total,terms_id,invoice_due_date,payment_date
122,"United Parcel Service","P.O. Box 505820",NULL,Reno,NV,88905,"(800) 555-0855",Beauregard,Violet,3,553,1,122,989319-457,2014-04-08,3813.33,3813.33,0.00,3,2014-05-08,2014-05-07
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,2,123,263253241,2014-04-10,40.20,40.20,0.00,3,2014-05-10,2014-05-14
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,3,123,963253234,2014-04-13,138.75,138.75,0.00,3,2014-05-13,2014-05-09
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,4,123,2-000-2993,2014-04-16,144.70,144.70,0.00,3,2014-05-16,2014-05-12
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,5,123,963253251,2014-04-16,15.50,15.50,0.00,3,2014-05-16,2014-05-11
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,6,123,963253261,2014-04-16,42.75,42.75,0.00,3,2014-05-16,2014-05-21
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,7,123,963253237,2014-04-21,172.50,172.50,0.00,3,2014-05-21,2014-05-22
89,"Evans Executone Inc","4918 Taylor Ct",NULL,Turlock,CA,95380,NULL,Royce,Hannah,1,522,8,89,125520-1,2014-04-24,95.00,95.00,0.00,1,2014-05-04,2014-05-01
121,"Zylka Design","3467 W Shaw Ave #103",NULL,Fresno,CA,93711,"(559) 555-8625",Ronaldsen,Jaime,3,403,9,121,97/488,2014-04-24,601.95,601.95,0.00,3,2014-05-24,2014-05-21
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,10,123,263253250,2014-04-24,42.67,42.67,0.00,3,2014-05-24,2014-05-22
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,11,123,963253262,2014-04-25,42.50,42.50,0.00,3,2014-05-25,2014-05-20
96,"Wells Fargo Bank","Business Mastercard","P.O. Box 29479",Phoenix,AZ,85038,"(947) 555-3900",Damion,Mikayla,2,160,12,96,I77271-O01,2014-04-26,662.00,662.00,0.00,2,2014-05-16,2014-05-13
95,"Pacific Bell",NULL,NULL,Sacramento,CA,95887,"(209) 555-7500",Nickalus,Kurt,2,522,13,95,111-92R-10096,2014-04-30,16.33,16.33,0.00,2,2014-05-20,2014-05-23
115,"Roadway Package System, Inc","Dept La 21095",NULL,Pasadena,CA,91185,NULL,Smith,Sam,4,553,14,115,25022117,2014-05-01,6.00,6.00,0.00,4,2014-06-10,2014-06-10
48,"Fresno County Tax Collector","PO Box 1192",NULL,Fresno,CA,93715,"(559) 555-3482",Brenton,Kila,3,574,15,48,P02-88D77S7,2014-05-03,856.92,856.92,0.00,3,2014-06-02,2014-05-30
97,Compuserve,"Dept L-742",NULL,Columbus,OH,43260,"(614) 555-8600",Armando,Jan,2,572,16,97,21-4748363,2014-05-03,9.95,9.95,0.00,2,2014-05-23,2014-05-22
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,17,123,4-321-2596,2014-05-05,10.00,10.00,0.00,3,2014-06-04,2014-06-05
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,18,123,963253242,2014-05-06,104.00,104.00,0.00,3,2014-06-05,2014-06-05
34,IBM,"PO Box 61000",NULL,"San Francisco",CA,94161,"(800) 555-4426",Camron,Trentin,1,160,19,34,QP58872,2014-05-07,116.54,116.54,0.00,1,2014-05-17,2014-05-19
115,"Roadway Package System, Inc","Dept La 21095",NULL,Pasadena,CA,91185,NULL,Smith,Sam,4,553,20,115,24863706,2014-05-10,6.00,6.00,0.00,4,2014-06-19,2014-06-15
119,"Yesmed, Inc","PO Box 2061",NULL,Fresno,CA,93718,"(559) 555-0600",Hernandez,Reba,2,589,21,119,10843,2014-05-11,4901.26,4901.26,0.00,2,2014-05-31,2014-05-29
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,22,123,963253235,2014-05-11,108.25,108.25,0.00,3,2014-06-10,2014-06-09
97,Compuserve,"Dept L-742",NULL,Columbus,OH,43260,"(614) 555-8600",Armando,Jan,2,572,23,97,21-4923721,2014-05-13,9.95,9.95,0.00,2,2014-06-02,2014-05-28
113,Pollstar,"4697 W Jacquelyn Ave",NULL,Fresno,CA,93722,"(559) 555-2631",Aranovitch,Robert,5,520,24,113,77290,2014-05-13,1750.00,1750.00,0.00,5,2014-07-02,2014-07-05
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,25,123,963253246,2014-05-13,129.00,129.00,0.00,3,2014-06-12,2014-06-09
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,26,123,4-342-8069,2014-05-14,10.00,10.00,0.00,3,2014-06-13,2014-06-13
88,"Edward Data Services","4775 E Miami River Rd",NULL,Cleves,OH,45002,"(513) 555-3043",Helena,Jeanette,1,540,27,88,972110,2014-05-15,207.78,207.78,0.00,1,2014-05-25,2014-05-27
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,28,123,963253263,2014-05-16,109.50,109.50,0.00,3,2014-06-15,2014-06-10
108,"Gostanian General Building","427 W Bedford #102",NULL,Fresno,CA,93711,"(559) 555-5100",Bragg,Walter,4,523,29,108,121897,2014-05-19,450.00,450.00,0.00,4,2014-06-28,2014-07-03
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,30,123,1-200-5164,2014-05-20,63.40,63.40,0.00,3,2014-06-19,2014-06-24
104,"Digital Dreamworks","5070 N Sixth Ste. 71",NULL,Fresno,CA,93711,NULL,Elmert,Ron,3,589,31,104,P02-3772,2014-05-21,7125.34,7125.34,0.00,3,2014-06-20,2014-06-24
121,"Zylka Design","3467 W Shaw Ave #103",NULL,Fresno,CA,93711,"(559) 555-8625",Ronaldsen,Jaime,3,403,32,121,97/486,2014-05-21,953.10,953.10,0.00,3,2014-06-20,2014-06-22
105,"Dristas Groom & McCormick","7112 N Fresno St Ste 200",NULL,Fresno,CA,93720,"(559) 555-8484",Aaronsen,Thom,3,591,33,105,94007005,2014-05-23,220.00,220.00,0.00,3,2014-06-22,2014-06-26
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,34,123,963253232,2014-05-23,127.75,127.75,0.00,3,2014-06-22,2014-06-18
107,"Franchise Tax Board","PO Box 942857",NULL,Sacramento,CA,94257,NULL,Prado,Anita,4,507,35,107,RTR-72-3662-X,2014-05-25,1600.00,1600.00,0.00,4,2014-07-04,2014-07-09
121,"Zylka Design","3467 W Shaw Ave #103",NULL,Fresno,CA,93711,"(559) 555-8625",Ronaldsen,Jaime,3,403,36,121,97/465,2014-05-25,565.15,565.15,0.00,3,2014-06-24,2014-06-24
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,37,123,963253260,2014-05-25,36.00,36.00,0.00,3,2014-06-24,2014-06-26
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,38,123,963253272,2014-05-26,61.50,61.50,0.00,3,2014-06-25,2014-06-30
110,"Malloy Lithographing Inc","5411 Jackson Road","PO Box 1124","Ann Arbor",MI,48106,"(313) 555-6113",Regging,Abe,3,400,39,110,0-2058,2014-05-28,37966.19,37966.19,0.00,3,2014-06-27,2014-06-30
121,"Zylka Design","3467 W Shaw Ave #103",NULL,Fresno,CA,93711,"(559) 555-8625",Ronaldsen,Jaime,3,403,40,121,97/503,2014-05-30,639.77,639.77,0.00,3,2014-06-29,2014-06-25
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,41,123,963253255,2014-05-31,53.75,53.75,0.00,3,2014-06-30,2014-06-27
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,42,123,94007069,2014-05-31,400.00,400.00,0.00,3,2014-06-30,2014-07-01
72,"Data Reproductions Corp","4545 Glenmeade Lane",NULL,"Auburn Hills",MI,48326,"(810) 555-3700",Arodondo,Cesar,3,400,43,72,40318,2014-06-01,21842.00,21842.00,0.00,3,2014-07-01,2014-06-29
95,"Pacific Bell",NULL,NULL,Sacramento,CA,95887,"(209) 555-7500",Nickalus,Kurt,2,522,44,95,111-92R-10094,2014-06-01,19.67,19.67,0.00,2,2014-06-21,2014-06-24
122,"United Parcel Service","P.O. Box 505820",NULL,Reno,NV,88905,"(800) 555-0855",Beauregard,Violet,3,553,45,122,989319-437,2014-06-01,2765.36,2765.36,0.00,3,2014-07-01,2014-06-28
37,"Blue Cross","PO Box 9061",NULL,Oxnard,CA,93031,"(800) 555-0912",Eliana,Nikolas,3,510,46,37,547481328,2014-06-03,224.00,224.00,0.00,3,2014-07-03,2014-07-04
83,Ingram,"PO Box 845361",NULL,Dallas,TX,75284,NULL,Yobani,Trey,2,541,47,83,31359783,2014-06-03,1575.00,1575.00,0.00,2,2014-06-23,2014-06-21
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,48,123,1-202-2978,2014-06-03,33.00,33.00,0.00,3,2014-07-03,2014-07-05
95,"Pacific Bell",NULL,NULL,Sacramento,CA,95887,"(209) 555-7500",Nickalus,Kurt,2,522,49,95,111-92R-10097,2014-06-04,16.33,16.33,0.00,2,2014-06-24,2014-06-26
37,"Blue Cross","PO Box 9061",NULL,Oxnard,CA,93031,"(800) 555-0912",Eliana,Nikolas,3,510,50,37,547479217,2014-06-07,116.00,116.00,0.00,3,2014-07-07,2014-07-07
122,"United Parcel Service","P.O. Box 505820",NULL,Reno,NV,88905,"(800) 555-0855",Beauregard,Violet,3,553,51,122,989319-477,2014-06-08,2184.11,2184.11,0.00,3,2014-07-08,2014-07-08
34,IBM,"PO Box 61000",NULL,"San Francisco",CA,94161,"(800) 555-4426",Camron,Trentin,1,160,52,34,Q545443,2014-06-09,1083.58,1083.58,0.00,1,2014-06-19,2014-06-23
95,"Pacific Bell",NULL,NULL,Sacramento,CA,95887,"(209) 555-7500",Nickalus,Kurt,2,522,53,95,111-92R-10092,2014-06-09,46.21,46.21,0.00,2,2014-06-29,2014-07-02
121,"Zylka Design","3467 W Shaw Ave #103",NULL,Fresno,CA,93711,"(559) 555-8625",Ronaldsen,Jaime,3,403,54,121,97/553B,2014-06-10,313.55,313.55,0.00,3,2014-07-10,2014-07-09
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,55,123,963253245,2014-06-10,40.75,40.75,0.00,3,2014-07-10,2014-07-12
86,Computerworld,"Department #1872","PO Box 61000","San Francisco",CA,94161,"(617) 555-0700",Lloyd,Angel,1,572,56,86,367447,2014-06-11,2433.00,2433.00,0.00,1,2014-06-21,2014-06-17
103,"Dean Witter Reynolds","9 River Pk Pl E 400",NULL,Boston,MA,02134,"(508) 555-8737",Johnson,Vance,5,589,57,103,75C-90227,2014-06-11,1367.50,1367.50,0.00,5,2014-07-31,2014-07-31
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,58,123,963253256,2014-06-11,53.25,53.25,0.00,3,2014-07-11,2014-07-07
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,59,123,4-314-3057,2014-06-11,13.75,13.75,0.00,3,2014-07-11,2014-07-15
122,"United Parcel Service","P.O. Box 505820",NULL,Reno,NV,88905,"(800) 555-0855",Beauregard,Violet,3,553,60,122,989319-497,2014-06-12,2312.20,2312.20,0.00,3,2014-07-12,2014-07-09
115,"Roadway Package System, Inc","Dept La 21095",NULL,Pasadena,CA,91185,NULL,Smith,Sam,4,553,61,115,24946731,2014-06-15,25.67,25.67,0.00,4,2014-07-25,2014-07-26
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,62,123,963253269,2014-06-15,26.75,26.75,0.00,3,2014-07-15,2014-07-11
122,"United Parcel Service","P.O. Box 505820",NULL,Reno,NV,88905,"(800) 555-0855",Beauregard,Violet,3,553,63,122,989319-427,2014-06-16,2115.81,2115.81,0.00,3,2014-07-16,2014-07-19
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,64,123,963253267,2014-06-17,23.50,23.50,0.00,3,2014-07-17,2014-07-19
99,"Bertelsmann Industry Svcs. Inc","28210 N Avenue Stanford",NULL,Valencia,CA,91355,"(805) 555-0584",Potter,Lance,3,400,65,99,509786,2014-06-18,6940.25,6940.25,0.00,3,2014-07-18,2014-07-15
123,"Federal Express Corporation","P.O. Box 1140","Dept A",Memphis,TN,38101,"(800) 555-4091",Bucket,Charlie,3,553,66,123,263253253,2014-06-18,31.95,31.95,0.00,3,2014-07-18,2014-07-21
122,"United Parcel Service","P.O. Box 505820",NULL,Reno,NV,88905,"(800) 555-0855",Beauregard,Violet,3,553,67,122,989319-487,2014-06-20,1927.54,1927.54,0.00,3,2014-07-20,2014-07-18
81,"Wang Laboratories, Inc.","P.O. Box 21209",NULL,Pasadena,CA,91185,"(800) 555-0344",Kapil,Robert,2,160,68,81,MABO1489,2014-06-21,936.93,936.93,0.00,2,2014-07-11,2014-07-10
80,"Cardinal Business Media, Inc.","P O Box 7247-7844",NULL,Philadelphia,PA,19170,"(215) 555-1500",Eulalia,Kelsey,2,540,69,80,133560,2014-06-22,175.00,175.00,0.00,2,2014-07-12,2014-07-16
115,"Roadway Package System, Inc","Dept La 21095",NULL,Pasadena,CA,91185,NULL,Smith,Sam,4,553,70,115,24780512,2014-06-22,6.00,6.00,0.00,4,2014-08-01,2014-07-29
