vendor_name,invoice_date,invoice_number,li_sequence,li_amount
"Abbey Office Furnishings",2014-07-05,203339-13,1,17.50
"Bertelsmann Industry Svcs. Inc",2014-06-18,509786,1,6940.25
"Blue Cross",2014-06-03,547481328,1,224.00
"Blue Cross",2014-06-07,547479217,1,116.00
"Blue Cross",2014-08-01,547480102,1,224.00
"Cahners Publishing Company",2014-06-30,587056,1,2184.50
"Cardinal Business Media, Inc.",2014-06-22,133560,1,175.00
"Cardinal Business Media, Inc.",2014-07-28,134116,1,90.36
"Coffee Break Service",2014-06-24,109596,1,41.80
Compuserve,2014-05-03,21-4748363,1,9.95
Compuserve,2014-05-13,21-4923721,1,9.95
Computerworld,2014-06-11,367447,1,2433.00
"Data Reproductions Corp",2014-06-01,40318,1,21842.00
"Data Reproductions Corp",2014-07-10,39104,1,85.31
"Dean Witter Reynolds",2014-06-11,75C-90227,1,1367.50
"Digital Dreamworks",2014-05-21,P02-3772,1,7125.34
"Dristas Groom & McCormick",2014-05-23,94007005,1,220.00
"Edward Data Services",2014-05-15,972110,1,207.78
"Evans Executone Inc",2014-04-24,125520-1,1,95.00
"Federal Express Corporation",2014-04-10,263253241,1,40.20
"Federal Express Corporation",2014-04-13,963253234,1,138.75
"Federal Express Corporation",2014-04-16,2-000-2993,1,144.70
"Federal Express Corporation",2014-04-16,963253251,1,15.50
"Federal Express Corporation",2014-04-16,963253261,1,42.75
"Federal Express Corporation",2014-04-21,963253237,1,172.50
"Federal Express Corporation",2014-04-24,263253250,1,42.67
"Federal Express Corporation",2014-04-25,963253262,1,42.50
"Federal Express Corporation",2014-05-05,4-321-2596,1,10.00
"Federal Express Corporation",2014-05-06,963253242,1,104.00
"Federal Express Corporation",2014-05-11,963253235,1,108.25
"Federal Express Corporation",2014-05-13,963253246,1,129.00
"Federal Express Corporation",2014-05-14,4-342-8069,1,10.00
"Federal Express Corporation",2014-05-16,963253263,1,109.50
"Federal Express Corporation",2014-05-20,1-200-5164,1,63.40
"Federal Express Corporation",2014-05-23,963253232,1,127.75
"Federal Express Corporation",2014-05-25,963253260,1,36.00
"Federal Express Corporation",2014-05-26,963253272,1,61.50
"Federal Express Corporation",2014-05-31,94007069,1,400.00
"Federal Express Corporation",2014-05-31,963253255,1,53.75
"Federal Express Corporation",2014-06-03,1-202-2978,1,33.00
"Federal Express Corporation",2014-06-10,963253245,1,40.75
"Federal Express Corporation",2014-06-11,4-314-3057,1,13.75
