vendor_name,vendor_state
"Abbey Office Furnishings",CA
"American Booksellers Assoc","Outside CA"
"American Express",CA
"ASC Signs",CA
"Ascom Hasler Mailing Systems","Outside CA"
AT&T,"Outside CA"
"Aztek Label",CA
"Baker & Taylor Books","Outside CA"
"Bertelsmann Industry Svcs. Inc",CA
"BFI Industries",CA
"Bill Jones",CA
"Bill Marvin Electric Inc",CA
"Blanchard & Johnson Associates",CA
"Blue Cross",CA
"Blue Shield of California",CA
"Boucher Communications Inc","Outside CA"
"Cahners Publishing Company","Outside CA"
"Cal State Termite",CA
"California Business Machines",CA
"California Chamber Of Commerce",CA
"California Data Marketing",CA
"Capital Resource Credit","Outside CA"
"Cardinal Business Media, Inc.","Outside CA"
"Champion Printing Company","Outside CA"
"City Of Fresno",CA
"Cmg Information Services","Outside CA"
"Coffee Break Service",CA
Compuserve,"Outside CA"
"Computer Library","Outside CA"
Computerworld,CA
Costco,CA
"Courier Companies, Inc","Outside CA"
"Crown Printing",CA
"Custom Printing Company","Outside CA"
"Data Reproductions Corp","Outside CA"
Dataforms/West,CA
"Dean Witter Reynolds","Outside CA"
"Digital Dreamworks",CA
"Diversified Printing & Pub",CA
"DMV Renewal",CA
"Dristas Groom & McCormick",CA
"Edward Data Services","Outside CA"
"Enterprise Communications Inc","Outside CA"
"Evans Executone Inc",CA
"Executive Office Products",CA
"Expedata Inc",CA
"Federal Express Corporation","Outside CA"
"Ford Motor Credit Company",CA
"Franchise Tax Board",CA
"Frank E Wilber Co",CA
"Fresno County Tax Collector",CA
"Fresno Credit Bureau",CA
"Fresno Photoengraving Company",CA
"Fresno Rack & Shelving Inc",CA
"Gary McKeighan Insurance",CA
"Golden Eagle Insurance Co",CA
"Gostanian General Building",CA
Graylift,CA
IBM,CA
Ingram,"Outside CA"
"Internal Revenue Service",CA
Jobtrak,CA
"Kent H Landsberg Co",CA
"Leslie Company","Outside CA"
"Lou Gentile's Flower Basket",CA
"Malloy Lithographing Inc","Outside CA"
"Mcgraw Hill Companies","Outside CA"
"McKesson Water Products",CA
"Micro Center","Outside CA"
"Nat Assoc of College Stores","Outside CA"
"National Information Data Ctr","Outside CA"
"Naylor Publications Inc","Outside CA"
"Net Asset, Llc",CA
"Newbrige Book Clubs","Outside CA"
Nielson,"Outside CA"
"Office Depot",CA
"Opamp Technical Books",CA
"Open Horizons Publishing","Outside CA"
"Pacific Bell",CA
"Pacific Gas & Electric",CA
"Ph Photographic Services",CA
Pollstar,CA
Postmaster,CA
"Publishers Marketing Assoc",CA
"Publishers Weekly","Outside CA"
"Quality Education Data","Outside CA"
"Register of Copyrights","Outside CA"
"Reiter's Scientific & Pro Books","Outside CA"
"Retirement Plan Consultants",CA
"Rich Advertising","Outside CA"
"Roadway Package System, Inc",CA
"Robbins Mobile Lock And Key",CA
"RR Bowker","Outside CA"
"Shields Design",CA
"Simon Direct Inc","Outside CA"
"Small Press","Outside CA"
"Springhouse Corp","Outside CA"
"State Board Of Equalization",CA
"State of California",CA
"Suburban Propane",CA
Texaco,CA
"The Drawing Board","Outside CA"
"The Fresno Bee",CA
"The Library Ltd","Outside CA"
"The Mailers Guide Co","Outside CA"
"The Presort Center",CA
"The Windows Deck",CA
"Towne Advertiser's Mailing Svcs",CA
"United Parcel Service","Outside CA"
Unocal,CA
"US Postal Service","Outside CA"
Valprint,CA
"Venture Communications Int'l","Outside CA"
"Vision Envelope & Printing",CA
"Wakefield Co",CA
"Wang Laboratories, Inc.",CA
"Wells Fargo Bank","Outside CA"
"Yale Industrial Trucks-Fresno",CA
"Yesmed, Inc",CA
"Zee Medical Service Co","Outside CA"
"Zip Print & Copy Center",CA
"Zylka Design",CA
